RespondentID,Age,How important would you say feeling productive is to your happiness?,How productive do you currently feel overall?,In what city do you live?,In what state or U.S. state or territory do you live (if applicable)?,What country do you live in?,What is the biggest challenge you face to being productive?,When are you most productive?,Which of the following best describes the principal industry of your organization?,Date
5046401083,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5046453499,,Moderately important to my overall happiness,Moderately productive,,,,,Afternoon,,2013-01-01
5046466657,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5046582159,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5046767325,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5047090790,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5047096800,,Moderately important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Early Morning,Advertising & Marketing,2013-01-01
5047117085,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5055265387,,Moderately important to my overall happiness,Moderately productive,,,,,Evening,,2013-01-01
5057472651,,Moderately important to my overall happiness,Moderately productive,,,,Other (please specify),Early Morning,,2013-01-01
5059452434,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5059497206,,Moderately important to my overall happiness,Moderately productive,,,,Time Management,Late Night,,2013-01-01
5067758203,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5070404610,,Moderately important to my overall happiness,Moderately productive,,,United States of America,Time Management,Early Morning,"Telecommunications, Technology, Internet & Electronics",2013-01-01
5071053544,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5072543857,,Moderately important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),Mid-Morning,,2013-01-01
5073075975,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081624350,,Moderately important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),Afternoon,,2013-01-01
5081923243,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081928673,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081940133,,Moderately important to my overall happiness,Moderately productive,,,,,Afternoon,,2013-01-01
5081940441,,Moderately important to my overall happiness,Moderately productive,,,,Time Management,Early Morning,,2013-01-01
5082133492,,Moderately important to my overall happiness,Moderately productive,,,,,Evening,,2013-01-01
5082149513,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5082381057,,Moderately important to my overall happiness,Moderately productive,,,United States of America,Distractions (e.g. Social Media),Mid-Morning,Transportation & Delivery,2014-01-01
5082551912,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5082648372,,Moderately important to my overall happiness,Moderately productive,,,,,Late Night,,2014-01-01
5083124587,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5083740131,,Moderately important to my overall happiness,Moderately productive,,,,,Evening,,2014-01-01
5083810568,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5084769679,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5086719125,,Moderately important to my overall happiness,Moderately productive,,,,,Late Night,,2014-01-01
5087319172,,Moderately important to my overall happiness,Moderately productive,,,,Time Management,Afternoon,,2014-01-01
5089137872,,Moderately important to my overall happiness,Moderately productive,,,,,Afternoon,,2014-01-01
5089598633,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5093626281,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5093718099,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5094955723,,Moderately important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5095642210,,Moderately important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5099364719,,Moderately important to my overall happiness,Moderately productive,,,,,Afternoon,,2014-01-01
5048824054,,Moderately important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Early Morning,Healthcare & Pharmaceuticals,2014-01-01
5046388515,,Moderately important to my overall happiness,Moderately unproductive,,,Canada,Time Management,Early Morning,Entertainment & Leisure,2014-01-01
5046499990,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2014-01-01
5046516976,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2014-01-01
5054868304,,Moderately important to my overall happiness,Moderately unproductive,,,,Distractions (e.g. Social Media),Early Morning,,2014-01-01
5062151452,,Moderately important to my overall happiness,Moderately unproductive,,,,,Evening,,2014-01-01
5062480561,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5071903090,,Moderately important to my overall happiness,Moderately unproductive,,,,Distractions (e.g. Social Media),Mid-Morning,,2015-01-01
5081900516,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5081942122,,Moderately important to my overall happiness,Moderately unproductive,,,,Distractions (e.g. Social Media),Mid-Morning,,2015-01-01
5082176054,,Moderately important to my overall happiness,Moderately unproductive,,,,Other (please specify),Late Night,,2015-01-01
5082253688,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5082365301,,Moderately important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2015-01-01
5082528357,,Moderately important to my overall happiness,Moderately unproductive,,,,,Evening,,2015-01-01
5082745891,,Moderately important to my overall happiness,Moderately unproductive,,,,,Late Night,,2015-01-01
5083504615,,Moderately important to my overall happiness,Moderately unproductive,,,United States of America,Time Management,Mid-Morning,,2015-01-01
5084414326,,Moderately important to my overall happiness,Moderately unproductive,,,,,Evening,,2015-01-01
5084857248,,Moderately important to my overall happiness,Moderately unproductive,,,United States of America,Distractions (e.g. Social Media),Late Night,Student,2015-01-01
5085124485,,Moderately important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2015-01-01
5088218934,,Moderately important to my overall happiness,Moderately unproductive,,,,,Late Night,,2015-01-01
5089104870,,Moderately important to my overall happiness,Moderately unproductive,,,,,Late Night,,2015-01-01
5089145689,,Moderately important to my overall happiness,Moderately unproductive,,,,Constantly being interrupted by colleagues,Mid-Morning,,2015-01-01
5089160425,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5089529238,,Moderately important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2015-01-01
5089876037,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5090510291,,Moderately important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5095017348,,Moderately important to my overall happiness,Moderately unproductive,,,,Time Management,Evening,,2015-01-01
5095809744,,Moderately important to my overall happiness,Moderately unproductive,,,,,Evening,,2015-01-01
5096436660,,Moderately important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2015-01-01
5096515051,,Moderately important to my overall happiness,Moderately unproductive,,,Indonesia,Time Management,Evening,Finance & Financial Services,2016-01-01
5081934884,,Moderately important to my overall happiness,Moderately unproductive,,,United States of America,Other (please specify),Mid-Morning,Healthcare & Pharmaceuticals,2016-01-01
5071538717,,Moderately important to my overall happiness,Moderately unproductive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,"Telecommunications, Technology, Internet & Electronics",2016-01-01
5046477002,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5046921140,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5046953995,,Moderately important to my overall happiness,Neither unproductive nor productive,,,United States of America,Time Management,,I am currently not employed,2016-01-01
5047389509,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Mid-Morning,,2016-01-01
5061031371,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Afternoon,,2016-01-01
5073787393,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5081923287,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Mid-Morning,,2016-01-01
5083035135,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5089128165,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Afternoon,,2016-01-01
5090271813,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5090930013,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5091700537,,Moderately important to my overall happiness,Neither unproductive nor productive,,,United States of America,Time Management,Mid-Morning,Healthcare & Pharmaceuticals,2016-01-01
5092853990,,Moderately important to my overall happiness,Neither unproductive nor productive,,,,Time Management,Afternoon,,2016-01-01
5047226404,,Moderately important to my overall happiness,Very productive,,,,,Lunchtime,,2016-01-01
5064599864,,Moderately important to my overall happiness,Very productive,,,,,Evening,,2016-01-01
5095059772,,Moderately important to my overall happiness,Very productive,,,,,Late Night,,2016-01-01
5082478830,,Moderately important to my overall happiness,Very productive,,,United States of America,Distractions (e.g. Social Media),Mid-Morning,,2016-01-01
5081936307,,Moderately important to my overall happiness,Very unproductive,,,,,Afternoon,,2016-01-01
5082507077,,Moderately important to my overall happiness,Very unproductive,,,,,Evening,,2016-01-01
5089157108,,Moderately important to my overall happiness,Very unproductive,,,,,Early Morning,,2016-01-01
5090867727,,Moderately important to my overall happiness,Very unproductive,,,,,Early Morning,,2016-01-01
5091037476,,Moderately important to my overall happiness,Very unproductive,,,,,Mid-Morning,,2016-01-01
5095012445,,Moderately important to my overall happiness,Very unproductive,,,,,Early Morning,,2016-01-01
5096019355,,Moderately important to my overall happiness,Very unproductive,,,,Distractions (e.g. Social Media),Afternoon,,2017-01-01
5089118500,,Moderately important to my overall happiness,Very unproductive,,,United States of America,Other (please specify),Early Morning,Finance & Financial Services,2017-01-01
5095320039,,Moderately important to my overall happiness,Very unproductive,,,United Kingdom of Great Britain and Northern Ireland,Other (please specify),Late Night,Retail & Consumer Durables,2017-01-01
5013727885,,Very important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),Mid-Morning,,2017-01-01
5046369701,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5046378663,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5046407693,,Very important to my overall happiness,Moderately productive,,,,,Evening,,2017-01-01
5046537616,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5046602473,,Very important to my overall happiness,Moderately productive,,,,,Late Night,,2017-01-01
5046638267,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5046654872,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5046670006,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5046685815,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5047146067,,Very important to my overall happiness,Moderately productive,,,,Time Management,Early Morning,,2017-01-01
5047336756,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5047377332,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5047438841,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5047443193,,Very important to my overall happiness,Moderately productive,,,United States of America,Other (please specify),Evening,Advertising & Marketing,2017-01-01
5047978596,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5048000609,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2017-01-01
5048128335,,Very important to my overall happiness,Moderately productive,,,,Constantly being interrupted by colleagues,Mid-Morning,,2017-01-01
5048145947,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5048152882,,Very important to my overall happiness,Moderately productive,,,United States of America,Time Management,Afternoon,Business Support & Logistics,2017-01-01
5048498762,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5049684898,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5050610864,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5051225453,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2017-01-01
5051456581,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5051520420,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2017-01-01
5053206951,,Very important to my overall happiness,Moderately productive,,,United States of America,Time Management,Evening,Government,2013-01-01
5055329931,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5059671315,,Very important to my overall happiness,Moderately productive,,,United States of America,Distractions (e.g. Social Media),Mid-Morning,Finance & Financial Services,2013-01-01
5059938111,,Very important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),Late Night,,2013-01-01
5060299525,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5061613081,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5062124339,,Very important to my overall happiness,Moderately productive,,,,Not having the right technology,Evening,,2013-01-01
5062254955,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5066010567,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5071925473,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2013-01-01
5072339521,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5077538259,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5081849918,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081911556,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,Nonprofit,2013-01-01
5081913734,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5081923322,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081924438,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081926875,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081927738,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5081940802,,Very important to my overall happiness,Moderately productive,,,,Constantly being interrupted by colleagues,Early Morning,,2013-01-01
5081944409,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5082145097,,Very important to my overall happiness,Moderately productive,,,Canada,Constantly being interrupted by colleagues,Mid-Morning,"Construction, Machinery, and Homes",2013-01-01
5082202478,,Very important to my overall happiness,Moderately productive,,,,,Evening,,2013-01-01
5082288883,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2013-01-01
5082367572,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2014-01-01
5082390943,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5082468026,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
